('3rd age longsword', 1203266346, 36704648.08263874)
('3rd age cloak', 966873800, 39009038.02297095)
('Elysian sigil', 742870739, 8122707.585957753)
('Elysian spirit shield', 732093188, 19756059.089501075)
('3rd age bow', 526608280, 12716555.6175279)
('3rd age wand', 345934591, 11568267.431302782)
('Arcane spirit shield', 77932925, 3947269.521070441)
('Arcane sigil', 77032937, 3854153.632011019)
('Spectral sigil', 52728366, 3306060.586970236)
('Spectral spirit shield', 52640122, 4127029.1034342577)
('Saradomin godsword', 49968017, 1791557.0298853293)
('Saradomin hilt', 48383626, 1104415.2804330569)
('Armadyl hilt', 42755063, 1822621.4936315913)
('Armadyl godsword', 36519602, 2921715.6901281355)
('Dragon full helm', 28834016, 5015780.466988221)
('Bandos tassets', 25503763, 1094763.678109049)
('Ranger boots', 22214347, 2971391.4697334543)
('Armadyl chestplate', 19963143, 1529696.016770927)
('Armadyl crossbow', 18622487, 885248.3882768055)
('Gilded scimitar', 16124951, 3400364.248337339)
('Draconic visage', 14165887, 1108206.9395606203)
('Dragonfire shield', 14098745, 1021437.800026698)
('Armadyl chainskirt', 13965566, 824667.8748144269)
('Ring of the gods', 12522256, 2436852.075303643)
('Bandos chestplate', 12467698, 889671.2077876105)
('Gilded boots', 11544819, 1514889.4254580815)
('Toxic staff (uncharged)', 9967899, 464004.0644203967)
("Rangers' tunic", 7996646, 540401.2256836506)
('Master wand', 7349779, 1237223.9460488742)
('Zamorakian hasta', 7229507, 460562.9857405957)
("Mage's book", 7187250, 756121.9976034842)
('Staff of the dead', 7123844, 353950.5831760888)
('Zamorakian spear', 7071143, 459175.11191341956)
("Pirate's hook", 6703298, 101092.46472297247)
("Guthan's armour set", 6563312, 761672.6398377604)
('Infinity bottoms', 6313254, 551865.5955093624)
('Infinity top', 6130894, 476988.06478694023)
("Pharaoh's sceptre (3)", 5483041, 1522534.137657622)
("Pharaoh's sceptre", 5342658, 1514225.1022178868)
('Tyrannical ring', 5272400, 538195.0415528194)
('Odium ward', 4784422, 393214.2493512411)
("Saradomin's tear", 4710338, 692897.3394390149)
('Gilded armour set (lg)', 4601142, 589487.1137758568)
("Guthan's warspear 0", 4542153, 471973.2635644542)
('Odium shard 3', 4415699, 169520.8983141828)
('Berserker ring', 4020927, 293397.4083507094)
('Fury ornament kit', 3769899, 311191.35308098147)
('Malediction ward', 3595247, 395864.0169332211)
('Lava dragon mask', 3485423, 415957.28317483515)
('Archers ring', 3317862, 405804.9699765677)
('Zamorak godsword', 3172573, 301944.2821541011)
('Onyx amulet', 3166766, 10873.599999999999)
('Malediction shard 3', 3128834, 101667.96841843236)
('Onyx bracelet', 3125205, 41329.958796632716)
("Guthan's warspear", 3072585, 405565.34894968633)
('Amulet of fury', 3027647, 56612.506315583174)
('Regen bracelet', 3026109, 63591.22473419122)
('Uncut onyx', 3023509, 45117.32432847534)
('Onyx', 3021603, 34154.40855837196)
('Bandos godsword', 3013038, 248360.25096511998)
('Uncharged toxic trident', 3002280, 327988.2313505634)
('Onyx necklace', 3000528, 30166.764649357447)
('Toxic blowpipe (empty)', 2984778, 455584.07510259916)
('Infinity hat', 2976771, 300581.5364713153)
('Berserker necklace', 2974250, 64869.64483857651)
('Tanzanite fang', 2953226, 451255.7873710809)
('Mystic smoke staff', 2924287, 289799.80834430247)
('Old school bond', 2895810, 174859.6058386224)
('Smoke battlestaff', 2865016, 279786.2083251682)
('Serpentine helm (uncharged)', 2831702, 320348.09592250705)
('Magic fang', 2811784, 324897.51593149063)
('Serpentine visage', 2811605, 320295.1337749497)
("Guthan's helm 0", 2760575, 195130.6295818217)
('Onyx ring', 2746581, 37528.27343056018)
('Onyx amulet (u)', 2728441, 0.0)
('Ring of stone', 2659733, 151252.9327677109)
('Gilded platelegs', 2593664, 361256.87217676407)
("Karil's armour set", 2495998, 319124.89251463354)
('Unholy book page set', 2491845, 242170.94999373273)
("Guthan's helm", 2472175, 519649.3593194944)
('Bounty teleport scroll', 2386330, 44063.88204396762)
('Bandos hilt', 2378894, 78010.4450278334)
('Infinity gloves', 2334517, 190001.29666371798)
("Dharok's armour set", 2227262, 235999.8210992861)
('Zamorak hilt', 2197642, 145365.46885912106)
('Dragon pickaxe', 2127800, 251246.05022528025)
('Gilded armour set (sk)', 2097486, 150439.33966881546)
("Verac's armour set", 2062643, 259098.35688463424)
("Karil's leathertop", 2041630, 343074.43073104613)
("Ahrim's armour set", 2038997, 278544.6095869345)
('Teacher wand', 2025355, 81409.42002221599)
('Robin hood hat', 1902922, 131106.86330495984)
('Infinity boots', 1874225, 122356.9503748493)
("Karil's leathertop 0", 1864884, 213246.75930536317)
('Abyssal whip', 1817987, 225500.7359295327)
('Armadyl helmet', 1517549, 262103.9584855173)
('Treasonous ring', 1391289, 207927.8938085606)
('Saradomin sword', 1367589, 220494.51830475414)
('Dragon chainbody', 1342068, 324507.5565934649)
('Iron gold-trimmed set (sk)', 1310025, 61524.581900753044)
("Black d'hide chaps (g)", 1291604, 175060.96928588185)
("Verac's plateskirt", 1279226, 160822.29245379494)
('Book of law page set', 1265138, 162162.42493330484)
('Trident of the seas (full)', 1239955, 69824.11922979174)
("Verac's plateskirt 0", 1217397, 143558.7326401765)
('Iron gold-trimmed set (lg)', 1215719, 262109.9017716746)
('Sagacious spectacles', 1104305, 214930.62568133723)
('Partyhat & specs', 1089327, 222856.7838756416)
("Ahrim's robetop", 1028337, 207856.90023773003)
('Magic stone', 932514, 59863.93096215016)
('New crystal bow', 918006, 3953.2812184240634)
('Gilded platebody', 912611, 125565.8301365093)
("Ahrim's robetop 0", 881171, 83252.31979529826)
("Dharok's platebody", 879064, 203556.31503482314)
("Ahrim's robeskirt", 863639, 103575.78429493065)
('Occult necklace', 847321, 153814.00927980288)
('Blessed spirit shield', 842775, 15839.78845015938)
('Jar of sand', 823919, 76408.10368959565)
("Dharok's platebody 0", 823906, 200814.20969262594)
("Torag's armour set", 823197, 36544.0504193227)
('Gnome scarf', 803344, 107118.02542727182)
('Holy sandals', 795891, 251857.5910770807)
('Shield right half', 771412, 7050.996089886788)
('New crystal shield', 770844, 3518.8803299724)
('Katana', 767880, 171256.30905235116)
("Dharok's platelegs", 763007, 57086.525195988164)
("Ahrim's robeskirt 0", 758534, 63885.293881081096)
('Dwarf cannon set', 756553, 3572.2819780901473)
('Dark bow', 733239, 43664.890240745925)
('Iron trimmed set (sk)', 729582, 24484.07673249022)
('Book of darkness page set', 724534, 79339.86541432561)
('Holy elixir', 718478, 14436.581492666939)
("Dharok's platelegs 0", 713348, 56329.35296322364)
('Zamorak page 1', 688275, 84189.93336596458)
('Zamorak dragonhide set', 667104, 62451.83992815761)
('Zamorak page 3', 606863, 128806.25325597287)
('Gout tuber', 604458, 38388.244637225864)
('Zamorak page 2', 592994, 82722.4634616093)
('Godsword blade', 545683, 6655.876820070412)
('Black mask (10)', 545641, 64212.77164343127)
('Black mask', 545239, 65170.184071003576)
('Iron platebody (g)', 512600, 124067.85463233702)
('Musketeer hat', 495245, 60923.70174024187)
('Iron trimmed set (lg)', 489464, 83619.98191143363)
('Apprentice wand', 478565, 20750.634127121375)
('Gilded full helm', 478464, 73557.54810521564)
("Guthan's platebody", 476093, 73270.98546875306)
('Wizard boots', 450253, 59135.4608802982)
('Slayer respite(m4)', 450000, 0.0)
('Gilded kiteshield', 440967, 47430.96648210181)
('Zamorak page 4', 435780, 76570.4875853879)
("Guthan's chainskirt", 424822, 47767.995310947124)
('Dragon plate/skirt ornament kit', 422093, 39675.58238694592)
("Chef's delight(m4)", 421371, 0.0)
('Saradomin dragonhide set', 418757, 33929.352773540464)
('Dragon impling jar', 416536, 53083.00829973284)
('Bronze gold-trimmed set (sk)', 387261, 25581.16743021968)
('Dwarven stout(m4)', 386950, 0.0)
('Mystic steam staff', 384465, 65866.59276183344)
('Briefcase', 376051, 59678.339442923374)
('Dragon sq shield', 352247, 9212.88083859619)
('Zamorak armour set (sk)', 347804, 10366.782855541569)
("Verac's helm 0", 347558, 97922.87389244181)
("Verac's helm", 346961, 116890.95153281755)
('Seers ring', 342002, 115160.50217331127)
('Obsidian cape', 341657, 44522.15464773315)
('Black gold-trimmed set (lg)', 338190, 71970.77713495085)
('Zamorak armour set (lg)', 337119, 20292.425570442396)
('Marble block', 333940, 2735.2278769581317)
('Armadyl dragonhide set', 331124, 20494.592788261656)
('Saradomin armour set (sk)', 329737, 30570.497388802254)
("Guthan's chainskirt 0", 329055, 8546.484189526182)
("Torag's platelegs", 320147, 35801.59511351682)
('Armadyl page 4', 314321, 97965.83047480394)
('Armadyl page 2', 312230, 69754.9747251357)
('Steam battlestaff', 302671, 97127.7492885509)
('Saradomin armour set (lg)', 301452, 31222.28614174952)
('Black gold-trimmed set (sk)', 300436, 6778.118363938147)
('Odium shard 2', 291767, 12456.6476118349)
('Armadyl page 3', 289972, 58924.49177228619)
("Dharok's greataxe", 287087, 25208.140041682575)
('Kraken tentacle', 279366, 57109.32156213885)
("Guthan's platebody 0", 277461, 32400.080427176414)
('Bronze gold-trimmed set (lg)', 276794, 45007.0047216449)
('Black wizard robe (g)', 272410, 66225.4282818944)
('Beginner wand', 269053, 7804.550378368229)
("Dharok's helm", 264338, 42212.895221495855)
("Axeman's folly(m4)", 256634, 0.0)
("Torag's platebody", 254499, 14725.903034787683)
("Torag's platelegs 0", 253918, 30670.555247573273)
("Karil's leatherskirt", 252088, 59245.6834860626)
('Gilded plateskirt', 240375, 52342.37236189938)
('Top hat & monocle', 239286, 6146.79657981886)
('Iron platelegs (g)', 238553, 167852.01896560297)
('Rune gold-trimmed set (sk)', 237119, 8538.17563366777)
('Blue wizard robe (g)', 236042, 58904.75306091187)
('Bandos boots', 235844, 25452.671789995413)
('Toktz-xil-ak', 232050, 58043.47833440606)
('Mystic mud staff', 229474, 61168.91641703688)
("Dharok's greataxe 0", 228851, 28062.38215327011)
('Rune gold-trimmed set (lg)', 225228, 10162.416905398824)
("Verac's brassard", 224763, 27407.241706411703)
('Armadyl page 1', 221190, 33946.80848533846)
("Dharok's helm 0", 221062, 40821.90181840026)
('Brine sabre', 220804, 28303.230683846952)
('Warrior ring', 219374, 67932.52207212389)
('Amulet of the damned (full)', 219309, 42620.61941571833)
('Black wizard hat (g)', 213715, 51337.303408206644)
("Chef's delight(4)", 213628, 5375.138214025434)
('Iron platebody (t)', 212163, 57713.111950183506)
('Zamorak cloak', 205965, 36269.297111392225)
('Moonlight mead(m4)', 200000, 0.0)
('Tzhaar-ket-om', 197572, 8095.012534955103)
('Saradomin cloak', 194923, 34568.924915972915)
('Top hat', 193334, 17104.67174877476)
('Bandos rune armour set (sk)', 193098, 9681.023887467803)
('Toktz-mej-tal', 192483, 16295.374545651153)
('Rune trimmed set (sk)', 190553, 7099.557659147192)
('Malediction shard 2', 190325, 7896.844109092092)
("Karil's crossbow", 189752, 21379.31711020932)
("Torag's platebody 0", 189713, 7358.547755728255)
('Cannon furnace', 188727, 2133.1225996828634)
("Verac's brassard 0", 187339, 2935.9812052151397)
('Blue wizard hat (g)', 187325, 26291.906685666178)
('Dragon platelegs', 186662, 1196.4429475184627)
('Cannon barrels', 186616, 2803.1922071040963)
('Dragon plateskirt', 185971, 1136.1484566532472)
('Ancient page 3', 185502, 45563.57867671161)
('Tzhaar-ket-em', 184524, 3147.373968348185)
('Cannon base', 183568, 2504.5058385948223)
('Gilded bench', 183280, 2586.5755138578284)
('Greenmans ale(m4)', 183235, 2899.743479901006)
('Cannon stand', 183040, 5263.087550060208)
('Ancient rune armour set (sk)', 182964, 9902.823721250756)
('Armadyl rune armour set (sk)', 182914, 16102.159829949163)
('Mud battlestaff', 181981, 60901.93567093747)
('Toktz-ket-xil', 176992, 6062.203894408084)
('Grand seed pod', 175371, 17920.664805944176)
('Ancient rune armour set (lg)', 175356, 5639.6526651076265)
('Rock-shell helm', 174983, 34731.779986954636)
("Verac's flail", 172705, 23369.75502403074)
('Godsword shard 1', 172209, 2337.3677608596754)
("Karil's leatherskirt 0", 171994, 22144.222604070143)
('Godsword shard 2', 171912, 2301.3404776709303)
('Godsword shard 3', 171792, 2424.3667765018913)
('Ancient page 4', 171540, 37050.94824058713)
('Dragon halberd', 171219, 1656.6282194193552)
("Black d'hide chaps (t)", 170406, 12293.591943135294)
('Iron full helm (g)', 169872, 46774.97502982355)
('Dragon spear(p+)', 169744, 3631.689024368995)
('Guthix armour set (sk)', 168284, 6235.4539319424475)
('Dragon boots', 165872, 24715.32372450913)
('Black wizard hat (t)', 163155, 29581.214166351514)
('Bandos rune armour set (lg)', 161899, 7308.001704870837)
('Iron kiteshield (g)', 161150, 53069.229263376015)
('Guthix armour set (lg)', 160705, 4542.0065011967545)
('Uncharged trident', 158424, 30516.052644297004)
('Pirate hat & patch', 157888, 9535.478344116309)
('Armadyl rune armour set (lg)', 157817, 5316.127935563999)
('Rune trimmed set (lg)', 156906, 5683.496043969854)
('Dragon 2h sword', 152823, 2433.5778445075016)
("Armadyl d'hide", 151934, 13860.355401576999)
('Dragon spear(p)', 151150, 4245.062309580652)
('Moonlight mead(4)', 150000, 0.0)
('Rune armour set (sk)', 148911, 2851.456905347783)
('Black wizard robe (t)', 147304, 32437.07128702588)
('Big pirate hat', 146710, 21737.093887101528)
('Guthix dragonhide set', 146360, 8984.370112397597)
('Black trimmed set (sk)', 145951, 3849.2755423088756)
('Rune armour set (lg)', 144587, 1802.4644334772927)
('Ancient page 1', 144225, 31932.057379392787)
('Green dark bow paint', 142611, 2292.5512217711616)
('White dark bow paint', 141671, 5467.051677936509)
('Bandos dragonhide set', 140417, 9131.36383843997)
("Green d'hide chaps (g)", 140352, 30839.14219645112)
('Yellow dark bow paint', 140341, 2679.7400117753727)
('Adamant gold-trimmed set (sk)', 139458, 8622.85012150998)
('Volcanic whip mix', 139062, 9020.375047080914)
('Black platebody (g)', 138196, 37186.16434912775)
('Frozen whip mix', 137934, 7956.653595429068)
('Dragon battleaxe', 137438, 1313.6093905677037)
('Dragon chainbody ornament kit', 136941, 32035.472402563882)
('Gold leaf', 136174, 1073.9633320607882)
('Odium shard 1', 135935, 14627.388364943654)
('Fibula piece', 134616, 0.0)
('Ancient dragonhide set', 129906, 9179.928903743088)
('Bronze platebody (g)', 129760, 24797.127890611308)
